KIAA0100,3.9092,4.2359,4.4166,4.5553,4.1015,3.7225,3.9010,4.1670
SLC13A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GAS7,3.7835,4.4846,4.0543,4.5223,3.6213,4.2677,4.3149,4.0715
TRAPPC6A,4.0386,4.0081,3.6416,3.2993,4.0817,4.2282,3.9113,3.2592
MATK,4.4691,4.5399,4.4005,3.7958,3.9902,4.4152,4.6092,3.7189
CEACAM7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CD79B,0.8565,0.4524,0.2798,0.4941,0.6459,0.3246,0.7296,0.7034
SCN4A,0.0621,0.0266,0.0348,0.0912,0.0967,0.0696,0.0357,0.1365
ST7L,1.5043,1.4287,1.3160,1.3661,1.5372,1.4673,1.6017,1.3531
TKTL1,0.4689,0.4187,0.3335,0.3863,0.3962,0.4518,0.7337,0.3842
PAX6,2.2100,2.1237,2.3607,2.2655,2.2923,2.0169,2.1210,1.7569
RPUSD1,3.1492,3.3464,3.2974,3.0590,2.8225,3.0193,2.7782,3.0466
RHBDF1,2.1737,2.6254,2.7417,2.6358,2.4242,2.4404,2.1534,3.2065
LUC7L,3.3148,3.4482,3.5537,3.2506,3.3713,3.5272,3.4133,3.1671
CACNA2D2,1.4644,1.5915,1.7011,1.8253,1.4637,1.5798,1.5317,2.0415
BAIAP3,2.6667,2.9487,2.7435,2.8130,2.6322,2.8825,2.7412,4.8324
C16orf42,5.0063,5.0317,5.1206,4.8787,4.8982,4.8500,4.7697,5.3003
PIGQ,2.9915,3.3365,3.5304,3.1741,2.8663,2.9373,2.9084,3.3136
CRAMP1L,1.7064,2.0515,2.2135,2.1606,1.9158,1.7774,1.8773,2.2501
TEAD3,1.2364,1.6280,1.4644,1.6954,1.6455,1.1641,1.3937,2.0128
SELE,0.6630,0.6652,0.6132,0.7704,0.8084,0.6145,0.4046,1.0258
DNAJC11,3.0726,3.1642,3.3707,3.2548,2.9063,2.9874,3.0662,3.1604
FMO3,0.6888,0.6290,0.4519,0.5627,0.8871,0.7843,0.7444,0.7761
MYLIP,2.1053,2.2481,1.8215,1.8560,2.0486,1.8426,2.3840,1.6057
NOX1,0.4416,0.3309,0.3702,0.1793,0.5333,0.3222,0.4783,0.2392
E2F2,0.2345,0.1982,0.2345,0.2270,0.2957,0.2773,0.2992,0.5282
PSMB1,5.4268,5.1517,4.8974,4.7333,5.2371,5.0861,5.2635,4.7700
SYN1,5.4832,6.0003,5.7980,5.8155,5.2250,5.3840,5.7506,5.4921
JARID2,2.1510,2.2150,2.4767,2.3905,2.0594,2.0341,1.9606,2.0938
CDKL5,1.1070,1.3076,1.0820,1.4109,1.0067,0.8465,0.8760,0.9837
CAMK1G,2.5720,2.9044,2.5935,2.2573,2.1572,2.3869,3.0016,1.7300
NADK,2.4284,2.5887,2.6886,2.6252,2.4924,2.4582,2.4937,2.5849
TFAP2B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TFAP2D,0.0000,0.0556,0.0000,0.0000,0.0000,0.0490,0.0000,0.1868
DLEC1,2.0603,1.8968,1.8285,1.9669,1.9303,1.7797,1.7723,2.5908
