PROM1,0.7681,1.0857,1.0329,0.8170,0.7668,1.1406,0.5897
CCDC124,6.4953,5.3344,5.6749,6.3779,5.3193,5.4807,5.7799
CEACAM21,0.3942,0.3735,0.4499,0.4004,0.1916,0.4376,0.5105
PAFAH1B1,4.2755,5.4129,5.0371,5.1405,5.1607,5.9946,5.3988
NOS2,0.9766,1.1263,1.1176,0.4460,0.1424,0.0878,0.2128
DNAH9,0.1421,0.1524,0.1409,0.2437,0.3718,0.5037,0.1769
KIAA0100,2.6379,3.2306,2.8498,3.3891,3.7733,4.1670,3.5415
SLC13A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GAS7,3.8620,4.6216,4.0218,4.3057,5.5664,3.8606,5.5714
TRAPPC6A,4.5377,3.2204,4.5257,4.5716,4.3818,3.8086,3.9154
MATK,5.7416,4.8316,5.4838,5.1504,4.3927,2.9758,2.3219
CEACAM7,0.1030,0.0533,0.1639,0.0000,0.0000,0.0000,0.0000
CD79B,0.4280,0.3930,0.5883,0.6541,0.3451,0.1236,0.4894
SCN4A,0.0000,0.0000,0.0110,0.0350,0.0436,0.0890,0.2208
ST7L,1.0068,1.1122,1.2513,1.1828,1.3465,1.2879,1.5055
TKTL1,0.1157,0.1060,0.1765,0.2094,0.1773,0.1573,0.1187
PAX6,0.9356,1.1203,1.5720,1.7007,1.3946,1.0876,4.3430
RPUSD1,3.9977,2.9333,3.3703,3.5729,3.3721,3.1990,3.5612
RHBDF1,0.5053,0.4914,0.6949,1.2320,1.1404,0.9374,1.1327
LUC7L,2.7652,2.5825,2.5382,2.7885,2.6871,2.6403,3.5126
CACNA2D2,0.9395,0.7592,1.2053,1.2969,1.7860,2.1334,3.0699
BAIAP3,3.1986,2.6590,2.9140,4.4831,3.0279,3.3614,2.0861
C16orf42,5.8071,5.0313,5.5727,6.0604,5.3692,5.2368,5.4051
PIGQ,2.5056,1.9962,2.0182,2.7048,2.3441,2.7037,2.8412
CRAMP1L,0.3803,0.7862,0.6147,0.8557,0.9288,1.0829,2.2602
TEAD3,0.1889,0.2046,0.2783,0.6600,0.5738,0.4820,0.4878
SELE,0.0414,0.1509,0.1550,0.0430,0.1917,0.2017,0.0891
