GGCT,3.5890,3.5163,3.2895,3.6006,3.0857,3.3342,3.8385,3.3943,3.4812,3.6506,3.2809,3.3534,3.2718,2.8320,3.8569,3.1524
DBF4,0.7373,0.7262,0.5915,0.7521,0.6239,0.7452,0.7612,0.7653,0.6868,0.8429,0.8219,0.6476,0.7314,1.1150,0.5556,0.5749
TBXA2R,0.3408,0.3595,0.3857,0.3843,0.5753,0.3265,0.3270,0.2034,0.3385,0.4131,0.3056,0.3653,0.4463,0.6132,0.4331,0.3107
IFRD1,2.3782,2.2257,1.9744,2.4557,1.9122,2.2167,2.5419,2.2002,2.2252,2.4646,2.3514,2.6045,2.5557,2.6845,1.8550,2.6067
LGALS14,0.2010,0.3360,0.0548,0.2846,0.1124,0.0531,0.5227,0.1166,0.3155,0.4158,0.2039,0.0000,0.1051,0.0983,0.0000,0.0000
COX10,2.2417,2.1065,2.0237,2.0539,1.9255,2.1603,2.2891,2.0925,2.2047,2.2360,2.1910,2.0967,2.0817,2.0728,2.5441,2.2879
GTF2IRD1,1.2963,1.1943,1.4215,1.3624,1.2615,1.4200,1.3667,1.2482,1.3671,1.2098,1.2403,1.5116,1.3947,1.7359,2.1573,1.4133
PAF1,4.4126,4.3770,4.5318,4.6663,4.3336,4.5610,4.5031,4.3417,4.4472,4.4668,4.2722,4.4154,4.5011,4.4219,4.6330,4.7688
VPS41,4.5663,4.7140,4.3497,4.4678,4.1980,4.5368,4.8379,4.6346,4.5642,4.7100,4.6675,4.1310,4.1279,3.6614,4.2247,3.8152
ELAC2,2.9760,2.7916,2.9265,2.9699,2.8981,2.8326,3.0003,2.8413,2.8497,2.8770,2.8172,2.9498,2.9668,2.9815,3.0076,3.2251
SCIN,0.2737,0.6428,0.5386,0.6128,0.2740,0.3872,0.4128,0.4235,0.4244,0.2038,0.3696,0.6843,0.5053,0.8577,0.3328,1.0195
ARSD,0.9534,0.9838,1.0945,1.1255,0.7546,0.7870,0.9094,0.6983,0.8011,0.9303,0.6864,1.6088,1.3174,0.9984,1.3239,1.8045
PNPLA4,2.1390,2.0181,2.2574,2.0885,1.6780,2.1046,2.2927,2.2977,2.2433,2.2635,2.0866,2.8852,2.7328,3.2314,2.6033,2.5762
MYH13,0.0322,0.0188,0.0543,0.0092,0.1011,0.0285,0.0298,0.0099,0.0552,0.0313,0.0197,0.0804,0.0641,0.0228,0.0794,0.0000
ADIPOR2,3.2402,3.5512,3.8413,3.7464,3.1473,3.3924,3.4144,3.1791,3.5026,3.5521,3.2625,3.9595,3.7164,3.3655,3.7270,3.4302
CDKL3,3.6114,3.7326,3.3589,3.5651,3.3089,3.5986,3.9045,3.5600,3.6917,3.6698,3.7351,3.4378,3.4715,3.3805,3.8730,3.8398
UPP2,1.3977,1.4673,1.3536,1.3561,1.3248,1.3379,1.5257,1.3682,1.4458,1.6540,1.4665,1.1129,1.2624,0.8135,0.9871,0.5357
PRSS21,0.0000,0.0496,0.1073,0.0000,0.0000,0.0000,0.0895,0.0553,0.0000,0.0000,0.0000,0.0000,0.0497,0.0000,0.0000,0.0000
MARK4,4.4987,4.4378,4.2784,4.3433,4.4456,4.4670,4.2395,4.4346,4.3973,4.2309,4.0624,4.4290,4.3602,4.9655,4.3927,3.4331
